,sample,library_prep,dataset,group,subgroup,bam,gtf,positions,probes,extra
88,Human_colon_16S8002624,10X_5p_v2,scrna_expanded,Colon,10X_5p_v2,bam_prefix/Human_colon_16S8002624/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
89,Human_colon_16S8117829,10X_5p_v2,scrna_expanded,Colon,10X_5p_v2,bam_prefix/Human_colon_16S8117829/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
90,Human_colon_16S8002623,10X_5p_v2,scrna_expanded,Colon,10X_5p_v2,bam_prefix/Human_colon_16S8002623/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
91,SRR21678775_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678775/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
92,SRR21678793_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678793/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
93,SRR21678787_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678787/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
94,SRR21678778_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678778/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
95,SRR21678774_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678774/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
96,SRR21678799_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678799/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
97,SRR21678804_brain,10X_3p_v3,scrna_expanded,Brain,10X_3p_v3,bam_prefix/SRR21678804/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
98,SRR15217445_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217445_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
99,SRR15217448_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217448_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
100,SRR15217444_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217444_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
101,SRR15217437_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217437_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
102,SRR15217443_Bowel_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217443_Bowel_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
103,SRR15217436_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217436_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
104,SRR15217438_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217438_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
105,SRR15217433_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217433_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
106,SRR15217449_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217449_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
107,SRR15217432_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217432_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
108,SRR15217480_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217480_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
109,SRR15217481_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217481_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
110,SRR15217672_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217672_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
111,SRR15217671_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217671_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
112,SRR15217670_Bowel_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217670_Bowel_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
113,SRR15217678_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217678_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
114,SRR15217684_Omentum_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217684_Omentum_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
115,SRR15217677_Bowel_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217677_Bowel_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
116,SRR15217685_Adnexa_CD45m,10X_3p_v3,scrna_expanded,OvaryCA_CD45m,10X_3p_v3,bam_prefix/SRR15217685_Adnexa_CD45m/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
117,SRR15217447_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217447_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
118,SRR15217434_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217434_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
119,SRR15217451_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217451_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
120,SRR15217450_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217450_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
121,SRR15217442_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217442_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
122,SRR15217441_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217441_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
123,SRR15217435_Adnexa_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217435_Adnexa_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
124,SRR15217440_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217440_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
125,SRR15217675_Omentum_CD45p,10X_3p_v3,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,bam_prefix/SRR15217675_Omentum_CD45p/outs/possorted_genome_bam.bam,gtf/GRCh38-2024-A.gtf.gz,,,
