sample,dataset,group,subgroup,library_prep,total_reads,countable_reads,full_saturation,baseline_saturation,ztnb_phat,ztnb_rhat,nb_lib_L,cells_or_tissue_frac
SRR15217241_Bowel_CD45p,scrna_expanded,OvaryCA_CD45p,10X_3p_v3,10X_3p_v3,86957836,66745737,32.881,32.881,0.798,2.645,99145684.614,4652.000
PBMC_F5A_10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,1375340638,889596833,52.701,52.701,0.529,1.402,709946979.502,28831.000
PBMC_F1B_10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,1308850343,837338587,49.655,49.655,0.554,1.365,758980469.945,33645.000
PBMC_F1B_10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,792086593,574210284,76.952,49.942,0.607,1.875,148884319.134,14086.000
PBMC_F5B_10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,764493244,553455776,79.243,49.934,0.600,1.805,126340206.813,11946.000
PBMC_F1A_10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,808415494,585348241,74.700,49.938,0.608,1.886,170428979.505,14011.000
PBMC_F1A_10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,1516975958,1003638961,53.940,53.940,0.513,1.371,768044235.727,32766.000
PBMC_F5B_10X_3p_v4,scrna,PBMC_scrna,10X_3p_v4,10X_3p_v4,1131126871,722729039,49.476,49.476,0.557,1.374,658159446.677,27483.000
PBMC_F5A_10X_3p_v31,scrna,PBMC_scrna,10X_3p_v31,10X_3p_v31,847643651,624753922,80.733,49.928,0.627,2.099,127597159.506,11664.000
PBMC_F5A_10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,249003117,241799739,71.421,49.972,0.638,2.232,80599528.470,9881.000
PBMC_F1B_10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,250907831,243823374,71.318,49.974,0.637,2.221,81695573.048,10452.000
PBMC_F1A_10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,220174563,213773955,71.303,49.982,0.638,2.234,71588197.025,9514.000
PBMC_F5B_10X_flex_v1,scrna_flex,PBMC_scrna_flex,10X_flex_v1,10X_flex_v1,221973977,215651309,71.241,49.979,0.637,2.224,72502073.496,8898.000
Visium_HD_Human_Breast_Cancer_FFPE,visium_hd,visium_hd,FFPE,10X_visium_hd,369943706,288236941,77.245,49.980,0.829,7.170,66717682.315,0.950
Visium_HD_Human_Breast_Cancer_Fixed_Frozen,visium_hd,visium_hd,Fixed_Frozen,10X_visium_hd,545857225,468765714,39.247,39.247,0.684,1.679,603095224.348,1.000
Visium_HD_Human_Breast_Cancer_Fresh_Frozen,visium_hd,visium_hd,Fresh_Frozen,10X_visium_hd,747820758,660123540,42.849,42.849,0.617,1.350,787076424.431,0.700
Visium_HD_Human_Colon_Cancer,visium_hd,visium_hd,FFPE,10X_visium_hd,721219716,631937364,56.500,49.978,0.626,2.093,394576682.452,0.650
Visium_HD_Human_Kidney_FFPE,visium_hd,visium_hd,FFPE,10X_visium_hd,238881670,209639494,62.999,49.943,0.774,4.892,91319648.436,0.900
Visium_HD_Human_Lung_Cancer,visium_hd,visium_hd,FFPE,10X_visium_hd,362482438,324812337,24.303,24.303,0.852,2.546,733251126.347,0.800
Visium_HD_Human_Lung_Cancer_Fixed_Frozen,visium_hd,visium_hd,Fixed_Frozen,10X_visium_hd,530624146,461553688,63.371,49.942,0.665,2.581,212546420.658,0.850
Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1,visium_hd,visium_hd,FFPE,10X_visium_hd,395736013,346098552,71.723,49.971,0.810,6.248,104753440.022,0.600
Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2,visium_hd,visium_hd,FFPE,10X_visium_hd,298720441,259465092,53.808,53.808,0.676,3.253,166213257.313,0.650
Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2,visium_hd,visium_hd,FFPE,10X_visium_hd,300957838,266802505,88.707,49.970,0.828,7.083,28992047.415,0.600
Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1,visium_hd,visium_hd,FFPE,10X_visium_hd,374135466,326119627,81.851,49.950,0.811,6.281,59556684.884,0.650
Visium_HD_Human_Lymph_Node_FFPE,visium_hd,visium_hd,FFPE,10X_visium_hd,443996591,383620583,93.045,49.969,0.764,4.586,25405680.944,0.450
Visium_HD_Human_Ovarian_Cancer_FF,visium_hd,visium_hd,Fresh_Frozen,10X_visium_hd,2563142621,2175997081,59.309,49.899,0.717,3.445,1125477693.551,0.700
Visium_HD_Human_Pancreas,visium_hd,visium_hd,FFPE,10X_visium_hd,428379275,362485776,31.530,31.530,0.823,3.017,557633065.373,0.550
Visium_HD_Human_Prostate_Cancer_FFPE,visium_hd,visium_hd,FFPE,10X_visium_hd,466129871,405461195,90.660,49.979,0.747,4.130,36755765.704,0.850
Visium_HD_Human_Tonsil_Fresh_Frozen,visium_hd,visium_hd,Fresh_Frozen,10X_visium_hd,1280580555,1151929189,66.303,49.984,0.660,2.523,475303058.549,1.000
Visium_HD_Human_Tonsil_Fresh_Frozen_IF,visium_hd,visium_hd,Fresh_Frozen,10X_visium_hd,752683317,649908915,67.534,49.954,0.723,3.583,243682881.160,0.950
Visium_HD_Mouse_Brain,visium_hd,visium_hd,FFPE,10X_visium_hd,334184277,303048356,70.034,49.987,0.786,5.289,99374986.724,0.550
Visium_HD_Mouse_Brain_Fixed_Frozen,visium_hd,visium_hd,Fixed_Frozen,10X_visium_hd,449417550,390798359,64.189,49.966,0.636,2.202,178144490.655,0.600
Visium_HD_Mouse_Brain_Fresh_Frozen,visium_hd,visium_hd,Fresh_Frozen,10X_visium_hd,1020744122,960186423,50.686,50.686,0.596,1.832,772125018.934,0.650
Visium_HD_Mouse_Embryo,visium_hd,visium_hd,FFPE,10X_visium_hd,420155385,383736894,34.032,34.032,0.825,3.493,516118353.158,0.350
